run_id,logical_run,tier,role,phase,report_use,audit_pack,raw_bundle_expected,report_sections,notes
run-001-ibd-2026-03-30T02-32-58Z,1,report,private-node,ibd,precursor-state-separation,docs-only,yes,4,precursor mainnet window
run-002-synced-stress-2026-03-30T04-41-02Z,2,report,private-node,synced-stress,precursor-state-separation,docs-only,yes,4,precursor mainnet window
run-003-synced-stress-pruning-followup-2026-03-30T06-41-10Z,3,report,private-node,synced-stress-pruning,precursor-state-separation,docs-only,yes,4,precursor mainnet window
run-004-devnet-bootstrap-ibd-contention-manual-2026-04-01T23-38-35Z,4,report,bootstrap-contention,manual-bootstrap-contention,precursor-bootstrap-failure,docs-only,yes,4,manual contention study
run-005-devnet-ibd-2026-04-04T12-08-48Z,5,report,private-node,ibd,healthy-reference,docs-plus-timeseries,yes,5;6.1,paired with other run-005 windows
run-005-devnet-synced-stress-2026-04-04T12-08-48Z,5,report,private-node,synced-stress,healthy-reference,docs-plus-timeseries,yes,5;6.1,paired with other run-005 windows
run-005-devnet-synced-stress-pruning-2026-04-04T12-08-48Z,5,report,private-node,synced-stress-pruning,healthy-reference,docs-plus-timeseries,yes,5;6.1;7,paired with other run-005 windows
run-006-devnet-ibd-2026-04-04T12-15-49Z,6,report,private-node,ibd,failure-boundary,docs-plus-timeseries,yes,5;6.2,paired with run-006 failure window
run-006-devnet-synced-stress-2026-04-04T12-15-49Z,6,report,private-node,post-prune-failure,failure-boundary,docs-plus-timeseries,yes,5;6.2;7,failure note and oom evidence
run-007-devnet-ibd-2026-04-04T12-08-48Z,7,report,private-node,ibd,headroom-boundary,docs-plus-timeseries,yes,5;6.2,paired with run-007 failure window
run-007-devnet-synced-stress-pruning-2026-04-04T12-08-48Z,7,report,private-node,synced-stress-pruning,headroom-boundary,docs-plus-timeseries,yes,5;6.2;7,failure note and oom evidence
run-008a-devnet-relay-serving-leaf1-ibd-2026-04-07T13-41-23Z,8a,report,relay,serving-1-leaf,serving-scaling,docs-plus-timeseries,yes,5;6.3,primary relay window
